epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4995,0.53622,4.03415,1.13729,0.00689,0.31818,0.07759,0.03906,1.11025,5.0694,2.38294,0.0677857,0.000325397,0.000325397
2,78.4641,0.52342,3.5698,1.11472,0.40154,0.18182,0.16718,0.10955,1.30149,5.18158,2.39069,0.0347727,0.000645687,0.000645687
3,115.899,0.55403,3.39556,1.12729,0.02008,0.68182,0.13726,0.11437,0.68583,5.15796,1.60261,0.00174643,0.000952778,0.000952778
4,151.558,0.54698,3.2379,1.12369,0.47902,0.13636,0.16675,0.12593,0.69027,7.0795,1.41727,0.0009406,0.0009406,0.0009406
5,188.115,0.52805,3.14313,1.12368,0.53472,0.09091,0.11194,0.04228,1.48161,9.52155,2.1316,0.0009208,0.0009208,0.0009208
6,228.699,0.55908,3.06523,1.11034,0.69164,0.13636,0.17619,0.15283,0.61008,6.11222,1.31226,0.000901,0.000901,0.000901
7,268.215,0.53583,2.89966,1.08449,0.62084,0.13836,0.1899,0.14559,0.64371,6.06394,1.36586,0.0008812,0.0008812,0.0008812
8,309.263,0.51091,2.84026,1.08642,0.65505,0.18182,0.24535,0.22982,0.49089,5.38462,1.22356,0.0008614,0.0008614,0.0008614
9,352.286,0.51847,2.77791,1.0785,0.76766,0.09091,0.25844,0.20488,0.76855,5.32538,1.40876,0.0008416,0.0008416,0.0008416
10,395.326,0.55161,2.73736,1.09104,0.7391,0.18182,0.23067,0.20715,0.65628,5.80257,1.29661,0.0008218,0.0008218,0.0008218
11,438.926,0.51021,2.6337,1.08502,0.72682,0.13636,0.2392,0.22674,0.52968,5.2075,1.23335,0.000802,0.000802,0.000802
12,483.254,0.48689,2.553,1.0565,0.84406,0.13636,0.24402,0.20971,0.49624,4.86436,1.17891,0.0007822,0.0007822,0.0007822
13,563.734,0.47662,2.46537,1.05138,0.81065,0.13636,0.22869,0.20269,0.52112,5.06155,1.20505,0.0007624,0.0007624,0.0007624
14,615.801,0.45729,2.41981,1.04187,0.59001,0.18182,0.27828,0.26546,0.4392,4.77172,1.12901,0.0007426,0.0007426,0.0007426
15,666.345,0.43045,2.29411,1.03373,0.53242,0.13636,0.21823,0.18943,0.42597,4.84373,1.11312,0.0007228,0.0007228,0.0007228
16,727.243,0.50006,2.34299,1.04557,0.0377,0.25,0.14576,0.12601,0.47082,4.9667,1.14988,0.000703,0.000703,0.000703
17,788.085,0.46672,2.34667,1.01758,0.03181,0.25,0.11929,0.10708,0.49838,4.94109,1.20197,0.0006832,0.0006832,0.0006832
18,884.439,0.44485,2.18793,1.03462,0.49184,0.09091,0.14068,0.13239,0.45867,4.99257,1.13213,0.0006634,0.0006634,0.0006634
19,1475.68,0.41822,2.07453,1.02759,0.63148,0.13636,0.17972,0.17456,0.5091,4.88846,1.14031,0.0006436,0.0006436,0.0006436
20,1532.91,0.4141,2.07079,1.00548,0.01807,0.15909,0.14032,0.13128,0.6211,4.83144,1.29071,0.0006238,0.0006238,0.0006238
21,1596.52,0.40924,1.97533,1.01615,0.03314,0.15909,0.10267,0.09014,0.46902,5.24515,1.16006,0.000604,0.000604,0.000604
22,1663.54,0.40388,2.03918,1.00837,0.04093,0.15909,0.12908,0.12522,0.56423,4.88853,1.19687,0.0005842,0.0005842,0.0005842
23,1733.07,0.39726,1.97017,1.01842,0.48084,0.09204,0.09526,0.08847,0.50867,4.89571,1.16842,0.0005644,0.0005644,0.0005644
24,2186.65,0.40834,1.90614,1.0038,0.03326,0.20455,0.16234,0.13665,0.68096,4.88084,1.37269,0.0005446,0.0005446,0.0005446
25,2249.76,0.38318,1.80576,1.00717,0.0671,0.20455,0.16724,0.14487,0.53538,4.92018,1.17038,0.0005248,0.0005248,0.0005248
26,2313.4,0.3949,1.77398,1.03133,0.06999,0.20455,0.1712,0.16442,0.51292,4.66543,1.21113,0.000505,0.000505,0.000505
27,2380.28,0.37243,1.72036,1.00061,0.04834,0.20455,0.16558,0.14676,0.49473,4.54679,1.16853,0.0004852,0.0004852,0.0004852
28,2448.96,0.36555,1.70156,0.99381,0.73651,0.08041,0.16685,0.16233,0.46987,4.70475,1.12607,0.0004654,0.0004654,0.0004654
29,2513.02,0.3936,1.74081,1.0049,0.5078,0.11017,0.16676,0.16224,0.43711,4.74737,1.09475,0.0004456,0.0004456,0.0004456
30,2594.59,0.34802,1.60433,0.99057,0.0303,0.11364,0.10085,0.09633,0.42939,4.76184,1.10383,0.0004258,0.0004258,0.0004258
31,2674.56,0.374,1.7172,0.98978,0.72519,0.04545,0.1046,0.1046,0.46167,4.96889,1.08525,0.000406,0.000406,0.000406
32,2756.13,0.36772,1.62622,0.98696,0.63247,0.06818,0.07387,0.07236,0.43282,4.83939,1.0708,0.0003862,0.0003862,0.0003862
33,2845.11,0.37496,1.60395,0.98453,0.60313,0.10394,0.1046,0.10008,0.50918,4.76362,1.12281,0.0003664,0.0003664,0.0003664
34,2926.35,0.36995,1.60226,0.99086,0.59872,0.1014,0.14886,0.14434,0.51994,4.69608,1.15262,0.0003466,0.0003466,0.0003466
35,3013.83,0.34244,1.49205,0.98385,0.6739,0.1115,0.10336,0.09884,0.4897,4.58689,1.11516,0.0003268,0.0003268,0.0003268
36,3096.32,0.35579,1.55511,0.97874,0.52088,0.11022,0.12625,0.12173,0.44317,4.62337,1.07956,0.000307,0.000307,0.000307
37,3175.06,0.33367,1.47564,0.97352,0.68501,0.15434,0.19409,0.18052,0.45658,4.41793,1.07556,0.0002872,0.0002872,0.0002872
38,3255.04,0.32472,1.29748,0.96904,0.05105,0.25,0.16745,0.15841,0.44747,4.58535,1.06604,0.0002674,0.0002674,0.0002674
39,3334.97,0.34633,1.4404,0.97582,0.04356,0.15909,0.14886,0.14434,0.48451,4.64622,1.09579,0.0002476,0.0002476,0.0002476
40,3476.42,0.33058,1.41725,0.96548,0.5992,0.10759,0.14886,0.13982,0.47353,4.53319,1.09048,0.0002278,0.0002278,0.0002278
41,3567.88,0.26281,1.62547,0.95499,0.08676,0.25,0.18986,0.1876,0.46515,4.51621,1.09444,0.000208,0.000208,0.000208
42,3652.4,0.2501,1.397,0.96047,0.04487,0.20455,0.16745,0.15841,0.49271,4.94143,1.10611,0.0001882,0.0001882,0.0001882
43,3734.77,0.24027,1.29674,0.94914,0.72035,0.04545,0.10557,0.09049,0.52261,5.11759,1.1227,0.0001684,0.0001684,0.0001684
44,3818.53,0.23709,1.22698,0.93663,0.56189,0.10991,0.14925,0.14473,0.4781,4.86138,1.09127,0.0001486,0.0001486,0.0001486
45,3902.92,0.23319,1.19846,0.94883,0.67666,0.13636,0.19602,0.18999,0.46649,4.5335,1.0743,0.0001288,0.0001288,0.0001288
46,3986.36,0.22958,1.08567,0.93575,0.59134,0.09091,0.09989,0.09442,0.45937,4.55355,1.07573,0.000109,0.000109,0.000109
47,4069.35,0.2299,1.06858,0.93356,0.06111,0.15909,0.14511,0.13965,0.43688,4.4847,1.06036,8.92e-05,8.92e-05,8.92e-05
48,4152.43,0.22352,1.0443,0.93558,0.68412,0.13636,0.18885,0.18433,0.44645,4.51138,1.06782,6.94e-05,6.94e-05,6.94e-05
49,4232.53,0.2121,1.04449,0.92795,0.67594,0.13636,0.18885,0.18433,0.46509,4.48087,1.07999,4.96e-05,4.96e-05,4.96e-05
50,4318.99,0.21161,1.00814,0.93276,0.57562,0.22727,0.27656,0.27204,0.43885,4.46137,1.06411,2.98e-05,2.98e-05,2.98e-05
