epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6989,0.57802,4.15768,1.20992,0,0,0,0,1.23758,5.24591,3.20197,0.08119,0.00019,0.00019
2,40.292,0.54682,3.71617,1.19728,0,0,0,0,1.02064,5.49191,2.46117,0.0613823,0.000382278,0.000382278
3,55.0589,0.52312,3.47317,1.14039,0,0,0,0,0.74368,5.61791,1.44631,0.0415666,0.000566636,0.000566636
4,69.7477,0.54099,3.25658,1.13247,0,0,0,0,0.81947,5.7267,1.71552,0.0217431,0.000743074,0.000743074
5,85.2067,0.5156,3.12843,1.13059,0.00265,0.11111,0.01797,0.01548,0.69426,6.25682,1.4478,0.00191159,0.000911592,0.000911592
6,100.965,0.55584,3.02266,1.12446,0.06049,0.16667,0.08844,0.06854,0.78711,7.08136,1.52816,0.000901,0.000901,0.000901
7,117.003,0.51276,2.97132,1.11851,0.02431,0.16667,0.06383,0.04639,0.65715,8.3103,1.38908,0.0008812,0.0008812,0.0008812
8,132.842,0.4834,2.81571,1.0973,0.00669,0.16667,0.01588,0.01448,0.57282,6.70479,1.32534,0.0008614,0.0008614,0.0008614
9,149.235,0.53552,2.78497,1.12956,0.01163,0.11111,0.01797,0.01106,0.60775,6.94615,1.31798,0.0008416,0.0008416,0.0008416
10,165.454,0.52581,2.73871,1.12666,0.00831,0.11111,0.01875,0.01601,0.58134,6.8188,1.32273,0.0008218,0.0008218,0.0008218
11,181.544,0.47587,2.66576,1.09979,0.00482,0.11111,0.01305,0.00745,0.61436,6.00103,1.31388,0.000802,0.000802,0.000802
12,198.241,0.48881,2.55825,1.09089,0.01722,0.19444,0.08615,0.07159,0.58311,6.49089,1.32095,0.0007822,0.0007822,0.0007822
13,216.451,0.48583,2.47814,1.08738,0.1813,0.05556,0.05712,0.05141,0.54259,6.48529,1.26169,0.0007624,0.0007624,0.0007624
14,234.765,0.47802,2.36199,1.06714,0.01934,0.19444,0.04707,0.04284,0.59591,6.10817,1.28893,0.0007426,0.0007426,0.0007426
15,253.255,0.47662,2.31074,1.05988,0.02057,0.19444,0.05281,0.04498,0.60527,5.97995,1.30201,0.0007228,0.0007228,0.0007228
16,272.368,0.46288,2.35168,1.05709,0.07544,0.11111,0.08131,0.07151,0.61632,6.09691,1.38335,0.000703,0.000703,0.000703
17,292.493,0.4405,2.2037,1.05932,0.01929,0.22222,0.0709,0.05871,0.58662,5.8185,1.43247,0.0006832,0.0006832,0.0006832
18,311.605,0.44561,2.11275,1.05005,0.0121,0.16667,0.04168,0.03733,0.57998,5.91863,1.36587,0.0006634,0.0006634,0.0006634
19,330.786,0.42017,2.01694,1.03985,0.01045,0.16667,0.03639,0.02874,0.53889,5.85043,1.28499,0.0006436,0.0006436,0.0006436
20,350.204,0.44947,2.04484,1.06759,0.02372,0.22222,0.06081,0.04662,0.56828,5.81072,1.32315,0.0006238,0.0006238,0.0006238
21,369.575,0.44261,2.06934,1.06719,0.0247,0.16667,0.06905,0.06215,0.56101,5.97101,1.3152,0.000604,0.000604,0.000604
22,388.939,0.41101,1.94066,1.0259,0.02032,0.22222,0.08306,0.07359,0.58716,5.92751,1.33897,0.0005842,0.0005842,0.0005842
23,409.113,0.41251,1.93327,1.04502,0.01927,0.22222,0.0927,0.07565,0.70725,5.89342,1.44192,0.0005644,0.0005644,0.0005644
24,428.306,0.42095,1.88576,1.0391,0.01381,0.16667,0.05618,0.05056,0.63735,5.94678,1.35345,0.0005446,0.0005446,0.0005446
25,447.806,0.40692,1.79884,1.01321,0.02144,0.05556,0.08906,0.07561,0.56044,6.07212,1.2793,0.0005248,0.0005248,0.0005248
26,467.164,0.40429,1.83746,1.02279,0.17375,0.08333,0.11566,0.10335,0.53552,6.01577,1.2581,0.000505,0.000505,0.000505
27,487.507,0.38408,1.8146,1.01649,0.01912,0.19444,0.09333,0.084,0.52684,5.95452,1.2533,0.0004852,0.0004852,0.0004852
28,507.769,0.39673,1.78015,1.02436,0.04538,0.13462,0.06821,0.06277,0.46606,6.10748,1.20328,0.0004654,0.0004654,0.0004654
