epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.453,0.71122,3.91174,1.17287,0.01008,0.22266,0.0251,0.02246,0.69617,4.10594,1.28881,0.0672773,0.000330532,0.000330532
2,342.336,0.68443,3.22534,1.1297,0.43873,0.04036,0.0362,0.03234,0.59014,3.38361,1.13595,0.0342554,0.000641958,0.000641958
3,520.241,0.70037,2.94445,1.12367,0.50229,0.02344,0.04584,0.03845,0.54423,3.63991,1.03641,0.0012115,0.000931384,0.000931384
4,742.061,0.64893,2.67368,1.09057,0.52653,0.04167,0.04487,0.04115,0.53712,2.67825,1.04222,0.000901,0.000901,0.000901
5,966.672,0.64325,2.50075,1.07145,0.14549,0.06042,0.04715,0.0434,0.48537,2.52371,1.021,0.000868,0.000868,0.000868
6,1190.8,0.60875,2.40845,1.05135,0.42537,0.0487,0.0638,0.06261,0.39138,2.48203,0.9262,0.000835,0.000835,0.000835
7,1410.98,0.58047,2.22609,1.05033,0.37729,0.05506,0.06873,0.06811,0.42513,2.14868,0.94288,0.000802,0.000802,0.000802
8,1635.52,0.57432,2.12795,1.03408,0.60172,0.04272,0.06074,0.05985,0.36588,2.23326,0.93465,0.000769,0.000769,0.000769
9,1916.22,0.56065,2.02396,1.0393,0.57123,0.04796,0.06145,0.06145,0.37187,2.13846,0.90654,0.000736,0.000736,0.000736
10,2219.85,0.53408,1.92618,1.02178,0.50301,0.04427,0.05814,0.05713,0.34188,1.76455,0.90156,0.000703,0.000703,0.000703
11,2522.48,0.49739,1.80236,1.00658,0.66131,0.03838,0.04851,0.04803,0.34564,1.66465,0.91765,0.00067,0.00067,0.00067
12,2829.77,0.52397,1.73419,1.01912,0.41889,0.03646,0.05597,0.05539,0.33858,1.50272,0.89382,0.000637,0.000637,0.000637
13,3136.2,0.49931,1.6259,1.01253,0.57901,0.04427,0.05863,0.05863,0.33757,1.38469,0.90872,0.000604,0.000604,0.000604
14,3445.49,0.46723,1.52206,1.00319,0.54304,0.05729,0.08853,0.08756,0.336,1.28649,0.90259,0.000571,0.000571,0.000571
15,3777.43,0.4766,1.4835,0.99654,0.68117,0.04036,0.0582,0.0582,0.33718,1.34264,0.89934,0.000538,0.000538,0.000538
16,4083.03,0.46774,1.44089,1.00353,0.68144,0.05339,0.06932,0.06932,0.34489,1.11044,0.90415,0.000505,0.000505,0.000505
17,4393.35,0.46277,1.35883,0.98766,0.74626,0.05391,0.07763,0.07763,0.33045,1.05121,0.89322,0.000472,0.000472,0.000472
18,4707.91,0.45371,1.27666,0.98401,0.66746,0.05525,0.07922,0.07922,0.31864,0.95719,0.88804,0.000439,0.000439,0.000439
19,5043,0.44512,1.23715,0.99046,0.66879,0.06823,0.09315,0.09247,0.33021,0.93902,0.90592,0.000406,0.000406,0.000406
20,5370.9,0.42584,1.16196,0.97755,0.66751,0.08854,0.1201,0.11947,0.30093,0.8501,0.88478,0.000373,0.000373,0.000373
21,5693.53,0.41495,0.91924,0.97155,0.9081,0.06901,0.10735,0.10735,0.32828,0.82208,0.89528,0.00034,0.00034,0.00034
22,6018.08,0.42485,0.83387,0.9745,0.67487,0.04557,0.08845,0.08845,0.32221,0.8102,0.88597,0.000307,0.000307,0.000307
23,6383.08,0.39982,0.75874,0.97182,0.70715,0.05339,0.09252,0.09252,0.32622,0.68333,0.87933,0.000274,0.000274,0.000274
24,6751.58,0.39942,0.72312,0.97084,0.82843,0.07995,0.13866,0.13866,0.32268,0.62023,0.87604,0.000241,0.000241,0.000241
25,7130.91,0.38372,0.66544,0.9668,0.87216,0.10547,0.16211,0.16211,0.28787,0.62815,0.86673,0.000208,0.000208,0.000208
26,7508.91,0.37837,0.62289,0.95763,0.78809,0.07292,0.1254,0.1254,0.27552,0.5599,0.86146,0.000175,0.000175,0.000175
27,7887.57,0.37491,0.61234,0.95168,0.89923,0.22059,0.27407,0.27029,0.26054,0.53408,0.85148,0.000142,0.000142,0.000142
28,8272.71,0.37111,0.57643,0.95183,0.8704,0.2245,0.27182,0.26772,0.26116,0.51685,0.85465,0.000109,0.000109,0.000109
29,8665.1,0.35126,0.56084,0.93818,0.77049,0.23454,0.27974,0.2754,0.24909,0.5086,0.84425,7.6e-05,7.6e-05,7.6e-05
30,9051.59,0.35768,0.53947,0.92946,0.7966,0.29314,0.34615,0.33945,0.25307,0.49349,0.84433,4.3e-05,4.3e-05,4.3e-05
