epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.744,0.8784,4.57857,1.40946,0,0,0,0,0.98332,4.92626,2.00607,4.128e-05,4.128e-05,4.128e-05
2,35.2084,0.62003,4.50971,1.26778,0,0,0,0,0.77746,4.89715,1.80464,8.14988e-05,8.14988e-05,8.14988e-05
3,49.2012,0.50718,4.37838,1.1785,0,0,0,0,0.6257,4.84306,1.62169,0.00011888,0.00011888,0.00011888
4,63.3502,0.48408,4.3125,1.14306,0,0,0,0,0.56534,4.78716,1.42955,0.000153422,0.000153422,0.000153422
5,80.0582,0.48733,4.19072,1.12209,0.01296,0.11111,0.02487,0.02064,0.59869,4.68933,1.39312,0.000149296,0.000149296,0.000149296
6,99.7267,0.46728,4.13247,1.10957,0.01687,0.16667,0.02714,0.02238,0.6177,4.64492,1.45061,0.00014362,0.00014362,0.00014362
7,116.761,0.43652,4.01262,1.09533,0.0373,0.22222,0.09807,0.07325,0.63647,4.66348,1.42785,0.000137944,0.000137944,0.000137944
8,133.42,0.4296,3.91196,1.09884,0.05972,0.22222,0.10708,0.08541,0.70281,4.71271,1.46335,0.000132268,0.000132268,0.000132268
9,150.737,0.41534,3.89399,1.0732,0.02065,0.16667,0.06247,0.05299,0.55638,4.69555,1.34181,0.000126592,0.000126592,0.000126592
10,167.784,0.45258,3.77716,1.09928,0.0456,0.30556,0.14252,0.11678,0.59425,4.68834,1.35945,0.000120916,0.000120916,0.000120916
11,185.219,0.40669,3.64062,1.07499,0.04292,0.33333,0.16809,0.14515,0.57721,4.71217,1.32048,0.00011524,0.00011524,0.00011524
12,202.797,0.41017,3.55722,1.06899,0.04656,0.27778,0.1535,0.14853,0.51288,4.73165,1.24283,0.000109564,0.000109564,0.000109564
13,222.654,0.41678,3.51716,1.08291,0.03827,0.27778,0.14741,0.13819,0.45487,4.66673,1.21804,0.000103888,0.000103888,0.000103888
14,242.165,0.41998,3.44898,1.04891,0.02889,0.27778,0.13688,0.12872,0.45229,4.66385,1.20204,9.8212e-05,9.8212e-05,9.8212e-05
15,262.151,0.40514,3.39262,1.04913,0.03233,0.30556,0.13943,0.13358,0.46115,4.66509,1.21801,9.2536e-05,9.2536e-05,9.2536e-05
16,280.889,0.40513,3.31888,1.05028,0.02901,0.27778,0.13293,0.12648,0.47524,4.70414,1.26001,8.686e-05,8.686e-05,8.686e-05
17,301.861,0.3991,3.27051,1.05251,0.0148,0.22222,0.12437,0.11793,0.50905,4.76311,1.29575,8.1184e-05,8.1184e-05,8.1184e-05
18,321.23,0.4057,3.1511,1.04022,0.01521,0.22222,0.12361,0.11739,0.50403,4.80973,1.28229,7.5508e-05,7.5508e-05,7.5508e-05
19,339.36,0.36487,3.04932,1.01792,0.01527,0.22222,0.12161,0.11387,0.48379,4.85313,1.26982,6.9832e-05,6.9832e-05,6.9832e-05
20,357.452,0.3979,3.08544,1.04166,0.0159,0.22222,0.12034,0.11255,0.50219,4.83245,1.25923,6.4156e-05,6.4156e-05,6.4156e-05
21,380.107,0.45436,3.31719,1.17611,0.02893,0.30556,0.1369,0.12914,0.59282,4.83811,1.30952,5.848e-05,5.848e-05,5.848e-05
22,400.767,0.36814,3.11153,1.08885,0.03151,0.36111,0.12687,0.11812,0.72421,4.8215,1.46366,5.2804e-05,5.2804e-05,5.2804e-05
23,420.266,0.36264,2.97543,1.09984,0.03281,0.36111,0.11274,0.102,0.71884,4.77765,1.46284,4.7128e-05,4.7128e-05,4.7128e-05
24,440.52,0.35067,2.96691,1.09042,0.03252,0.36111,0.08553,0.07871,0.61459,4.81347,1.35491,4.1452e-05,4.1452e-05,4.1452e-05
25,461.754,0.32185,2.93493,1.0575,0.03163,0.36111,0.08297,0.07535,0.54441,4.87532,1.28112,3.5776e-05,3.5776e-05,3.5776e-05
26,481.858,0.31834,2.88306,1.04112,0.03022,0.36111,0.08385,0.07882,0.52968,4.88103,1.24723,3.01e-05,3.01e-05,3.01e-05
27,502.879,0.32285,2.82495,1.02631,0.04216,0.41667,0.09384,0.09017,0.52148,4.87379,1.24318,2.4424e-05,2.4424e-05,2.4424e-05
28,524.813,0.29607,2.74474,1.04759,0.04401,0.38889,0.09173,0.08842,0.53099,4.89632,1.24819,1.8748e-05,1.8748e-05,1.8748e-05
29,552.458,0.29697,2.76674,1.02894,0.05945,0.33333,0.17505,0.17136,0.52874,4.91936,1.25048,1.3072e-05,1.3072e-05,1.3072e-05
30,577.637,0.29451,2.64038,1.04411,0.04609,0.38889,0.09996,0.096,0.52778,4.87904,1.25136,7.396e-06,7.396e-06,7.396e-06
