epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.077,0.47264,3.616,1.11666,0.02079,0.63636,0.19569,0.1518,0.70481,4.85252,1.51925,0.0672185,0.000331126,0.000331126
2,261.659,0.47337,2.92517,1.10073,0.52476,0.29545,0.35363,0.2548,1.04415,4.47399,2.21001,0.0342054,0.000651303,0.000651303
3,407.625,0.47537,2.53369,1.08588,0.8116,0.13636,0.29146,0.2387,0.79605,5.38534,1.62778,0.00117903,0.00095828,0.00095828
4,552.856,0.45996,2.19343,1.07885,0.03658,0.47727,0.26967,0.22656,0.70553,4.84139,1.46864,0.0009406,0.0009406,0.0009406
5,717.546,0.44405,1.98345,1.06439,0.09242,0.38636,0.3268,0.29025,0.66956,3.94178,1.3084,0.0009208,0.0009208,0.0009208
6,882.069,0.40819,1.76619,1.04646,0.51662,0.2012,0.30652,0.25325,0.74328,4.40899,1.37091,0.000901,0.000901,0.000901
7,1076.64,0.40057,1.67166,1.03027,0.67967,0.34274,0.35205,0.31248,0.69776,3.66229,1.3185,0.0008812,0.0008812,0.0008812
8,1258.07,0.40236,1.56738,1.02569,0.17008,0.29545,0.28284,0.2636,0.48015,4.42848,1.1256,0.0008614,0.0008614,0.0008614
9,1445.9,0.37054,1.43719,1.02025,0.67441,0.22727,0.27558,0.25104,0.6234,3.72438,1.23475,0.0008416,0.0008416,0.0008416
10,1641.22,0.3581,1.36218,1.01461,0.58045,0.25,0.28169,0.25502,0.51587,3.78944,1.15107,0.0008218,0.0008218,0.0008218
11,1853.34,0.35629,1.30266,1.0082,0.8184,0.18182,0.25443,0.23351,0.5006,3.51325,1.13796,0.000802,0.000802,0.000802
12,2101.41,0.36482,1.24105,1.01124,0.07846,0.15909,0.13962,0.1351,0.3994,3.99482,1.05325,0.0007822,0.0007822,0.0007822
13,2351.81,0.33173,1.16114,0.99516,0.48185,0.18182,0.22614,0.199,0.57553,3.83292,1.27415,0.0007624,0.0007624,0.0007624
14,2605.03,0.33087,1.18362,0.99122,0.72679,0.20455,0.2525,0.22725,0.57489,3.26147,1.26448,0.0007426,0.0007426,0.0007426
15,2861.01,0.33023,1.08157,0.98567,0.1553,0.20455,0.215,0.19239,0.6176,3.83842,1.27278,0.0007228,0.0007228,0.0007228
