epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,911.636,0.30483,1.53176,0.98264,0.0376,0.22222,0.07978,0.06627,0.47098,4.8345,1.15835,0.000100482,0.000100482,0.000100482
44,936.426,0.34792,1.58078,1.00572,0.04659,0.22222,0.06317,0.05488,0.48155,4.85855,1.1825,9.87796e-05,9.87796e-05,9.87796e-05
45,962.768,0.3175,1.4629,0.98895,0.03711,0.22222,0.06743,0.06274,0.4843,4.86228,1.17089,9.70768e-05,9.70768e-05,9.70768e-05
46,989.01,0.30194,1.49437,0.98089,0.03662,0.22222,0.07945,0.07077,0.47137,4.85993,1.15456,9.5374e-05,9.5374e-05,9.5374e-05
47,1015.24,0.31653,1.46043,0.98186,0.03606,0.22222,0.07274,0.06436,0.48369,4.8975,1.18802,9.36712e-05,9.36712e-05,9.36712e-05
48,1041.73,0.30793,1.45684,0.98055,0.03021,0.22222,0.09081,0.08173,0.46919,4.90422,1.16092,9.19684e-05,9.19684e-05,9.19684e-05
49,1066.95,0.29939,1.39635,0.9658,0.03104,0.22222,0.09542,0.088,0.49864,4.86878,1.16895,9.02656e-05,9.02656e-05,9.02656e-05
50,1093.92,0.29467,1.39023,0.96152,0.03122,0.22222,0.09213,0.0855,0.47849,4.82903,1.17092,8.85628e-05,8.85628e-05,8.85628e-05
51,1121.09,0.30218,1.38816,0.97319,0.03678,0.22222,0.09121,0.07857,0.43437,4.79033,1.14359,8.686e-05,8.686e-05,8.686e-05
52,1148.31,0.30345,1.38965,0.97241,0.03671,0.22222,0.07456,0.064,0.45098,4.81269,1.1454,8.51572e-05,8.51572e-05,8.51572e-05
53,1173.7,0.31598,1.3498,0.9819,0.03626,0.22222,0.09121,0.07829,0.4729,4.84905,1.15415,8.34544e-05,8.34544e-05,8.34544e-05
54,1200.69,0.30337,1.33981,0.99394,0.02747,0.22222,0.09208,0.08127,0.44714,4.85993,1.14505,8.17516e-05,8.17516e-05,8.17516e-05
55,1227.88,0.29862,1.31929,0.97662,0.02765,0.22222,0.1013,0.08564,0.45104,4.85703,1.16192,8.00488e-05,8.00488e-05,8.00488e-05
56,1256.83,0.27594,1.26356,0.96209,0.21281,0.05556,0.13512,0.11793,0.43782,4.85126,1.14106,7.8346e-05,7.8346e-05,7.8346e-05
57,1285.46,0.28072,1.3107,0.95991,0.15636,0.05556,0.13359,0.11654,0.46526,4.81013,1.14639,7.66432e-05,7.66432e-05,7.66432e-05
58,1400.26,0.30391,1.34092,0.96566,0.15645,0.05556,0.13359,0.12023,0.50117,4.80359,1.16037,7.49404e-05,7.49404e-05,7.49404e-05
59,1429.26,0.29884,1.27803,0.96691,0.15818,0.05556,0.13267,0.1194,0.46979,4.78508,1.13969,7.32376e-05,7.32376e-05,7.32376e-05
60,1457.38,0.28335,1.3141,0.95326,0.21705,0.05556,0.12763,0.10704,0.45527,4.80325,1.13714,7.15348e-05,7.15348e-05,7.15348e-05
61,1482.87,0.30106,1.25849,0.96352,0.21862,0.05556,0.12302,0.10817,0.45726,4.82166,1.13562,6.9832e-05,6.9832e-05,6.9832e-05
62,1509.47,0.28339,1.24284,0.96318,0.27396,0.05556,0.12486,0.11348,0.47576,4.78894,1.14439,6.81292e-05,6.81292e-05,6.81292e-05
63,1538.26,0.2893,1.23419,0.95437,0.21842,0.05556,0.12507,0.10814,0.49298,4.80649,1.15576,6.64264e-05,6.64264e-05,6.64264e-05
64,1565.67,0.28361,1.14341,0.95912,0.21898,0.05556,0.12507,0.10814,0.45807,4.81556,1.14802,6.47236e-05,6.47236e-05,6.47236e-05
65,1592.43,0.28444,1.20471,0.95803,0.27473,0.05556,0.12322,0.09432,0.44601,4.82259,1.14769,6.30208e-05,6.30208e-05,6.30208e-05
66,1619.06,0.28056,1.15411,0.96124,0.27484,0.05556,0.12345,0.1065,0.44407,4.81734,1.14247,6.1318e-05,6.1318e-05,6.1318e-05
67,1647.97,0.29291,1.21471,0.98207,0.27469,0.05556,0.12322,0.11643,0.46716,4.79568,1.15565,5.96152e-05,5.96152e-05,5.96152e-05
68,1676.38,0.28624,1.15899,0.96161,0.27454,0.05556,0.12345,0.10835,0.4589,4.85512,1.14887,5.79124e-05,5.79124e-05,5.79124e-05
69,1705.77,0.2909,1.19327,0.96436,0.27416,0.05556,0.12345,0.1065,0.44814,4.8715,1.14044,5.62096e-05,5.62096e-05,5.62096e-05
70,1733.7,0.28205,1.18968,0.95929,0.27317,0.05556,0.1253,0.10834,0.45184,4.87178,1.13981,5.45068e-05,5.45068e-05,5.45068e-05
71,1762.54,0.26973,1.14313,0.95531,0.2715,0.05556,0.12507,0.11366,0.44777,4.86969,1.14316,5.2804e-05,5.2804e-05,5.2804e-05
